date,region,category,product,sales,profit,orders,customer_rating
2024-01-08,South,Fashion,Backpack,2737.34,753.76,34,4.89
2024-02-07,East,Home,Vacuum,5762.05,1352.29,35,4.32
2023-03-26,Central,Fashion,Backpack,2170.0,695.15,14,3.72
2025-04-11,South,Home,Air Purifier,3066.17,596.16,29,3.77
2025-01-28,South,Home,Air Purifier,2801.36,435.58,8,4.31
2024-10-02,East,Office,Chair,6560.96,1408.36,32,3.63
2023-04-14,North,Fashion,Backpack,5984.3,1666.77,35,3.93
2024-02-03,North,Electronics,Headphones,27540.14,5831.03,29,4.96
2025-01-18,East,Fitness,Yoga Mat,35563.11,10404.17,33,3.47
2024-10-14,East,Fashion,Jacket,7177.06,2124.29,22,3.23
2024-09-22,West,Home,Vacuum,25775.4,6015.04,38,4.32
2023-03-06,South,Fitness,Dumbbells,1283.31,321.15,21,4.05
2024-02-29,Central,Electronics,Smartphone,33200.0,5233.99,25,4.59
2024-01-29,West,Home,Lamp,12726.0,3187.08,20,4.21
2025-02-16,North,Home,Coffee Machine,3600.88,1036.48,19,3.59
2024-07-10,Central,Fashion,Backpack,2272.0,536.26,16,3.79
2023-01-11,South,Fitness,Treadmill,12597.39,2371.87,13,4.37
2023-12-25,North,Office,Mouse,3263.04,897.59,12,4.22
2025-07-19,East,Electronics,Tablet,49761.69,8766.14,33,3.66
2024-08-27,East,Office,Desk,6223.62,1350.44,26,3.45
2024-06-18,North,Home,Blender,10135.2,1843.07,20,4.4
2025-04-10,South,Fitness,Yoga Mat,4883.95,1206.07,19,4.98
2025-08-22,Central,Home,Air Purifier,9792.0,1493.25,34,4.19
2023-11-03,Central,Fashion,Jacket,1327.2,303.8,14,3.44
2023-04-29,Central,Fitness,Exercise Bike,17056.0,3244.46,26,4.46
2025-08-24,North,Fashion,Sneakers,2475.09,694.01,27,3.34
2023-08-31,East,Fashion,Jacket,1287.75,431.47,15,3.96
2025-08-01,South,Fitness,Dumbbells,1196.01,363.26,3,3.57
2025-07-03,North,Electronics,Monitor,41937.48,6211.81,29,3.72
2024-10-18,Central,Fashion,Backpack,3591.0,1313.78,27,4.33
2023-04-07,West,Fitness,Protein Mixer,19192.95,4727.08,27,3.74
2025-04-25,North,Office,Keyboard,10190.82,2385.38,17,4.5
2025-02-11,East,Office,Desk,2908.8,515.31,36,3.58
2024-05-11,West,Office,Desk,5490.45,1095.27,21,4.12
2025-08-19,North,Fitness,Exercise Bike,2054.85,444.89,3,4.24
2024-02-06,South,Fitness,Yoga Mat,36968.64,10605.21,32,4.5
2024-12-22,South,Fitness,Exercise Bike,15979.39,3007.68,12,4.72
2023-10-09,West,Electronics,Laptop,21623.7,3907.14,14,4.07
2025-12-25,North,Fitness,Treadmill,1312.63,364.52,18,4.89
2025-12-09,North,Office,Desk,6009.43,1110.26,17,4.22
2023-03-06,North,Office,Printer,14528.15,2197.07,31,4.61
2023-03-29,Central,Fashion,Sneakers,4734.0,1468.3,18,3.26
2023-10-23,South,Home,Vacuum,5292.32,1314.22,16,4.53
2023-04-20,East,Electronics,Monitor,14968.2,3177.46,39,3.69
2024-12-29,South,Fitness,Exercise Bike,11785.5,3298.0,25,3.48
2025-01-08,East,Office,Keyboard,3223.92,526.43,24,4.12
2024-12-25,North,Electronics,Laptop,40633.5,4936.19,25,4.99
2023-12-14,Central,Office,Mouse,4600.8,727.96,18,3.34
2024-02-05,West,Home,Blender,4722.9,1268.82,26,4.67
2024-10-18,East,Fashion,Jacket,2888.6,901.65,26,3.64
2025-01-17,West,Fitness,Yoga Mat,43167.6,9037.17,36,4.7
2023-10-13,West,Electronics,Headphones,43423.8,9322.62,28,4.11
2025-01-06,North,Fitness,Protein Mixer,6038.89,1659.77,11,4.55
2023-07-21,North,Fitness,Treadmill,42545.18,10416.29,38,4.44
2025-09-15,North,Office,Printer,3522.6,685.49,10,3.38
2024-09-06,North,Fitness,Yoga Mat,8236.91,2119.09,11,3.97
2024-01-13,West,Fitness,Dumbbells,1146.6,240.87,13,4.47
2024-01-18,North,Electronics,Monitor,16266.79,3261.23,17,3.91
2025-07-26,East,Electronics,Tablet,55420.72,7214.13,38,4.45
2023-10-10,West,Fashion,Watch,9885.75,2949.34,35,3.45
2023-04-20,Central,Home,Air Purifier,13275.0,2909.82,25,4.71
2023-03-05,North,Fitness,Dumbbells,21161.35,6097.78,35,4.12
2025-01-21,East,Fashion,Sneakers,4227.86,1131.52,14,5.0
2023-06-28,East,Fitness,Yoga Mat,10546.42,2808.1,23,4.66
2025-12-26,East,Electronics,Monitor,17386.14,3281.26,19,3.44
2023-09-17,East,Fitness,Treadmill,17961.84,4274.77,26,4.34
2024-07-23,Central,Electronics,Headphones,935.0,209.69,1,4.46
2024-03-22,West,Electronics,Monitor,21127.05,3391.54,19,4.43
2025-07-30,North,Electronics,Laptop,219.39,52.44,1,3.74
2024-05-27,East,Home,Vacuum,18775.9,4897.45,26,3.37
2023-09-29,North,Office,Keyboard,279.13,71.52,1,3.33
2023-07-31,North,Fitness,Treadmill,2827.35,731.89,9,3.5
2025-04-23,South,Home,Blender,2243.61,451.96,9,3.45
2024-08-06,South,Home,Vacuum,7842.45,1908.75,33,3.63
2025-10-20,South,Fitness,Treadmill,998.13,230.73,21,4.57
2023-05-19,Central,Electronics,Laptop,5408.0,977.73,26,3.35
2023-11-09,Central,Fashion,Jeans,4720.8,1615.06,14,4.37
2024-05-03,West,Electronics,Tablet,9387.0,1816.16,30,3.22
2025-10-13,South,Office,Desk,13386.0,3367.2,24,3.25
2023-05-11,Central,Fitness,Yoga Mat,22968.0,4640.07,24,4.81
2023-01-06,Central,Electronics,Smartphone,6480.0,1075.4,24,4.85
2024-05-23,East,Fitness,Dumbbells,4460.16,942.19,24,3.28
2024-08-01,West,Fitness,Treadmill,1214.85,344.46,1,3.86
2024-05-17,Central,Fitness,Dumbbells,2555.0,800.07,35,4.38
2025-12-21,South,Home,Vacuum,11272.18,3196.41,18,3.87
2025-11-01,North,Electronics,Monitor,2239.63,385.66,4,4.64
2024-07-10,West,Home,Coffee Machine,1778.7,381.65,7,4.94
2025-08-06,East,Office,Keyboard,6381.18,1650.62,39,3.84
2024-06-16,East,Fashion,Sneakers,11053.44,2452.9,36,4.69
2025-03-31,South,Office,Chair,611.1,96.79,5,4.83
2025-08-02,North,Home,Vacuum,20501.12,3437.0,32,3.7
2024-05-18,Central,Office,Desk,2200.0,439.54,4,3.65
2025-01-05,West,Fashion,Sneakers,10706.85,2405.71,33,4.66
2025-12-20,West,Home,Vacuum,3991.68,1144.66,16,3.59
2023-12-27,South,Fitness,Yoga Mat,1766.95,353.2,2,4.71
2023-12-26,East,Fitness,Protein Mixer,6617.52,2041.54,39,3.43
2023-02-14,North,Office,Printer,952.75,259.58,5,3.45
2024-10-11,West,Office,Keyboard,10631.25,2546.24,25,4.91
2024-01-08,North,Fitness,Protein Mixer,18178.47,3470.14,37,3.78
2023-01-24,West,Electronics,Tablet,12905.55,2767.5,17,3.5
2024-12-20,West,Fitness,Exercise Bike,19013.4,4207.42,15,4.91
2025-02-07,South,Electronics,Tablet,19255.47,4587.29,39,4.29
2023-07-27,North,Fitness,Dumbbells,31111.15,5816.2,35,4.71
2023-01-08,East,Office,Desk,1693.77,299.63,13,3.41
2024-06-26,West,Fitness,Exercise Bike,10578.75,2592.94,25,3.68
2023-06-25,North,Electronics,Smartphone,32778.72,4173.32,36,4.89
2024-09-04,West,Fashion,Jacket,10761.45,2574.62,37,4.56
2024-01-30,South,Office,Chair,1046.63,242.34,13,4.85
2025-03-24,West,Electronics,Laptop,1375.5,294.89,1,3.47
2023-08-05,North,Fashion,Jeans,5450.76,1349.35,27,3.93
2023-03-21,West,Fashion,Jeans,1464.75,393.27,31,3.7
2023-10-03,South,Fitness,Treadmill,21790.08,6435.82,39,4.57
2023-11-22,Central,Home,Vacuum,8218.8,1898.44,9,3.56
2025-07-23,North,Electronics,Smartphone,6995.76,1530.82,24,3.87
2025-08-29,South,Fashion,Watch,884.64,331.2,6,4.74
2025-04-18,East,Office,Chair,545.4,124.43,9,3.75
2024-12-15,West,Home,Air Purifier,11052.72,1728.31,34,4.72
2024-08-01,Central,Home,Lamp,9504.0,1727.67,18,3.74
2023-04-27,South,Office,Mouse,878.82,245.78,2,3.26
2024-03-31,East,Fashion,Jacket,5635.8,1327.89,20,3.43
2024-11-18,South,Home,Lamp,12508.34,2272.63,27,4.05
2023-05-26,Central,Fashion,Jeans,7310.0,1842.47,34,3.94
2024-10-09,South,Fashion,Watch,3992.52,1372.5,12,4.24
2023-09-23,North,Office,Keyboard,13958.56,2789.35,28,3.23
2023-02-06,South,Home,Lamp,2322.18,438.84,9,4.91
2025-12-09,Central,Fitness,Protein Mixer,11481.6,3542.63,32,3.61
2025-10-30,North,Office,Chair,2906.66,671.46,17,4.71
2025-06-28,West,Electronics,Laptop,10059.0,1455.13,10,4.14
2025-05-07,South,Fashion,Jeans,1474.4,386.41,19,4.14
2024-08-27,West,Office,Printer,2604.0,391.53,31,4.4
2023-06-03,Central,Office,Desk,5738.0,898.06,19,3.85
2023-07-14,North,Home,Air Purifier,4169.44,762.71,23,3.82
2025-07-23,West,Electronics,Headphones,8500.8,1135.42,11,3.95
2025-06-16,Central,Fashion,Watch,306.0,70.42,9,4.38
2024-04-03,Central,Electronics,Monitor,24416.0,4868.69,28,4.71
2023-01-24,North,Fashion,Jeans,3093.09,705.4,11,3.6
2023-06-11,South,Fitness,Exercise Bike,29239.68,7937.76,32,3.94
2023-07-06,North,Fashion,Jeans,3862.5,1130.61,30,4.21
2025-01-14,West,Fashion,Jeans,485.1,135.74,22,3.39
2025-04-18,South,Office,Keyboard,2328.0,468.11,8,3.39
2023-09-10,Central,Fitness,Treadmill,11079.0,2852.31,9,4.25
2023-12-22,Central,Fashion,Jacket,8316.0,2843.91,21,3.69
2023-10-01,West,Home,Coffee Machine,24607.8,7128.44,36,4.32
2023-12-31,South,Home,Coffee Machine,19945.14,5800.6,23,4.81
2023-01-27,West,Fashion,Backpack,394.8,104.96,4,3.65
2023-03-08,South,Electronics,Tablet,13298.7,2780.62,15,3.72
2025-05-03,West,Electronics,Headphones,34440.0,7723.58,40,4.48
2024-02-07,Central,Home,Lamp,5928.0,943.12,12,3.68
2023-01-12,East,Office,Mouse,5221.7,1188.43,10,3.74
2023-05-30,East,Fashion,Jeans,1444.3,398.49,5,4.79
2024-08-24,East,Home,Coffee Machine,4209.68,1198.58,8,4.93
2025-03-01,North,Home,Air Purifier,27175.52,7295.29,34,4.82
2023-06-18,Central,Office,Printer,1055.0,244.59,5,3.57
2023-02-18,South,Fitness,Treadmill,791.52,233.52,4,3.93
2024-10-09,West,Fitness,Exercise Bike,280.35,73.45,1,3.33
2024-09-09,East,Fashion,Sneakers,5645.9,1916.67,26,4.63
2024-09-02,South,Fashion,Backpack,713.92,166.79,8,3.58
2025-11-15,West,Home,Blender,4776.66,1279.89,17,4.88
2023-05-30,Central,Fashion,Watch,4598.0,1085.16,38,4.32
2025-07-11,West,Office,Printer,13714.05,3497.1,37,4.61
2023-10-03,East,Fitness,Yoga Mat,18927.4,3624.15,20,4.69
2023-06-06,East,Fashion,Jacket,12166.46,3734.56,38,5.0
2025-03-14,East,Fitness,Dumbbells,32530.08,6943.33,33,4.97
2025-07-02,South,Office,Mouse,6705.61,1041.08,31,3.62
2025-03-05,East,Office,Mouse,3570.35,777.55,7,4.18
2025-01-18,West,Office,Keyboard,1874.25,367.12,15,4.29
2023-12-06,West,Fashion,Jacket,1612.8,414.26,10,4.66
2025-09-08,West,Electronics,Headphones,10264.8,1284.92,16,4.23
2024-01-04,East,Electronics,Smartphone,2500.76,563.72,2,4.29
2024-03-25,South,Fitness,Exercise Bike,12707.97,3094.21,33,3.61
2023-02-03,North,Fitness,Dumbbells,35510.28,6585.92,39,4.11
2023-09-24,West,Electronics,Laptop,40115.25,6596.76,27,4.62
2023-07-20,Central,Fitness,Yoga Mat,6012.0,1241.26,6,4.62
2025-11-30,North,Fashion,Jeans,6040.33,2155.17,27,3.96
2025-03-24,East,Home,Lamp,7272.0,1313.36,12,4.47
2025-07-03,South,Office,Desk,3030.28,696.43,22,4.34
2025-06-10,West,Electronics,Smartphone,2268.0,437.91,6,3.72
2025-10-09,South,Fashion,Sneakers,2093.26,517.28,13,3.26
2023-06-27,South,Office,Desk,16550.14,2515.58,38,4.51
2024-12-12,East,Fashion,Jeans,7941.02,1839.0,26,3.73
2024-05-27,East,Electronics,Monitor,24130.92,5679.18,22,3.41
2024-04-15,South,Electronics,Headphones,801.22,163.53,1,3.82
2024-10-04,West,Fashion,Jacket,1542.45,390.37,13,3.56
2023-11-16,East,Office,Mouse,196.34,43.27,1,4.09
2024-01-10,West,Fashion,Backpack,2976.75,894.2,9,3.91
2025-11-27,North,Office,Keyboard,6281.35,1024.47,14,3.67
2024-12-03,Central,Home,Air Purifier,17658.0,4885.83,27,3.44
2024-07-06,North,Fashion,Jacket,968.2,351.38,10,4.34
2024-09-06,West,Fashion,Backpack,432.6,146.71,4,3.67
2024-06-11,Central,Home,Lamp,17784.0,4336.82,39,3.84
2023-06-10,West,Fashion,Watch,2425.5,564.31,22,3.82
2024-07-01,East,Home,Coffee Machine,11974.56,1997.01,38,3.62
2023-12-08,South,Home,Vacuum,5531.33,1238.12,36,4.31
2024-04-14,East,Electronics,Headphones,23557.24,5197.25,34,4.06
2025-06-30,Central,Fashion,Backpack,9750.0,3142.66,30,3.76
2024-04-10,Central,Home,Air Purifier,5950.0,1331.2,17,3.72
2025-09-04,West,Fashion,Sneakers,5118.75,1484.12,15,3.65
2024-06-22,South,Fitness,Exercise Bike,19982.0,5675.08,40,3.94
2024-08-16,South,Electronics,Smartphone,15752.8,2820.37,40,4.95
2025-06-16,South,Home,Coffee Machine,3942.08,1047.47,32,4.45
2023-10-27,North,Electronics,Tablet,9387.42,1331.07,31,4.95
2024-05-21,West,Office,Keyboard,3572.1,852.26,14,3.28
2024-06-02,North,Fashion,Jeans,663.32,230.24,14,4.25
2023-03-28,North,Fitness,Dumbbells,30801.12,8502.1,24,4.95
2023-11-12,East,Electronics,Laptop,32527.66,7735.11,21,3.55
2024-05-28,South,Fitness,Yoga Mat,16974.03,4347.17,19,4.04
2023-05-22,South,Fashion,Jeans,5228.3,1305.43,35,3.23
2024-10-18,South,Home,Lamp,13378.24,2479.0,32,3.37
2024-01-01,South,Electronics,Laptop,1656.76,205.14,7,4.26
2023-05-26,South,Electronics,Tablet,5994.6,1295.57,30,3.86
2025-12-19,East,Electronics,Monitor,10837.7,1426.83,34,3.65
2025-04-30,Central,Office,Mouse,2842.0,492.95,7,5.0
2024-10-26,East,Fitness,Yoga Mat,35687.34,9172.84,39,3.85
2023-01-01,West,Fitness,Exercise Bike,548.1,115.68,9,3.24
2023-11-13,Central,Home,Lamp,5464.8,983.54,9,4.23
2024-10-26,North,Fashion,Jacket,2731.56,941.9,39,4.86
2025-05-03,West,Home,Coffee Machine,21000.0,4012.9,25,4.46
2025-07-01,West,Office,Desk,11092.2,1877.26,19,4.19
2025-10-24,West,Home,Vacuum,2361.45,404.7,13,3.64
2024-10-24,West,Electronics,Tablet,34246.8,5541.03,24,4.98
2023-10-26,Central,Fashion,Watch,2110.0,784.56,10,4.87
2023-08-16,East,Home,Vacuum,7310.38,1662.58,14,4.32
2025-12-14,West,Office,Desk,4930.38,1135.64,13,3.9
2023-02-09,North,Home,Coffee Machine,1953.91,460.22,7,4.94
2024-05-21,North,Fashion,Sneakers,2503.93,949.89,11,4.96
2025-03-03,East,Home,Vacuum,6958.9,1399.8,26,4.33
2023-11-09,South,Office,Keyboard,14625.66,3434.42,35,3.45
2023-10-25,West,Fashion,Jacket,11208.75,3769.87,35,4.58
2025-06-26,East,Fitness,Exercise Bike,3717.81,808.11,9,3.62
2025-01-05,North,Office,Chair,16859.04,3348.45,31,3.55
2024-07-06,North,Electronics,Headphones,5278.75,745.62,5,4.76
2023-03-27,West,Office,Keyboard,18018.0,4042.36,40,3.27
2023-03-28,West,Electronics,Headphones,25817.4,4298.28,36,4.79
2025-05-15,South,Home,Air Purifier,21563.1,5512.03,30,4.89
2025-04-26,West,Fashion,Jacket,10054.8,2733.42,38,4.37
2023-08-22,North,Office,Desk,13969.89,2385.88,33,3.8
2024-01-02,South,Office,Chair,8643.67,1428.64,19,3.66
2023-01-12,West,Fitness,Exercise Bike,15265.95,2761.92,31,3.7
2024-01-14,North,Fashion,Jacket,391.4,143.75,10,3.29
2024-08-05,South,Fitness,Dumbbells,3521.1,820.6,3,3.97
2025-08-22,East,Fashion,Sneakers,6455.92,2010.49,34,4.96
2024-08-11,West,Fashion,Sneakers,13188.0,4234.63,40,4.09
2024-08-17,South,Office,Mouse,318.16,56.3,8,3.83
2024-07-30,South,Office,Desk,3806.28,573.98,36,4.31
2024-11-07,South,Electronics,Smartphone,9135.07,1624.03,9,4.61
2024-09-05,Central,Fitness,Treadmill,15708.0,4577.46,14,3.47
2025-12-30,West,Electronics,Tablet,13078.8,2676.34,20,3.63
2025-12-11,South,Fitness,Yoga Mat,11969.41,2963.3,13,3.54
2024-11-01,East,Fitness,Protein Mixer,1076.26,194.35,3,4.44
2025-08-14,East,Fashion,Sneakers,1158.47,307.98,37,4.16
2023-11-02,East,Fitness,Treadmill,2443.39,548.76,36,4.47
2023-12-17,South,Home,Lamp,22346.47,6358.17,29,3.36
2025-07-02,Central,Fitness,Dumbbells,24675.0,6402.93,35,4.64
2024-09-27,West,Fitness,Treadmill,5239.5,1230.71,10,4.4
2023-03-03,West,Home,Air Purifier,4725.0,925.05,30,3.93
2023-05-26,Central,Electronics,Tablet,21546.0,3202.36,27,3.57
2024-12-01,West,Fashion,Watch,12620.16,3675.43,32,3.75
2023-08-11,Central,Fitness,Treadmill,4148.0,1271.18,4,3.2
2025-12-24,West,Office,Chair,7190.82,1898.85,13,4.85
2023-01-17,North,Fitness,Yoga Mat,1178.32,328.13,4,3.85
2025-06-03,South,Home,Vacuum,17023.5,4187.75,26,3.89
2024-08-13,South,Home,Air Purifier,446.2,93.65,10,4.36
2025-05-21,Central,Fitness,Exercise Bike,38448.0,9207.07,36,4.1
2025-04-21,East,Office,Mouse,12993.65,2140.2,31,4.52
2023-06-10,Central,Home,Air Purifier,1430.0,332.82,5,4.16
2025-11-15,West,Electronics,Headphones,27291.6,3823.58,19,3.67
2023-04-16,South,Fitness,Protein Mixer,8878.41,1762.86,9,4.74
2023-12-24,Central,Electronics,Laptop,20030.4,3031.61,12,3.82
2023-11-12,Central,Electronics,Smartphone,15774.0,2292.01,11,3.41
2025-09-02,West,Office,Keyboard,13833.75,2776.56,25,3.72
2025-12-21,East,Fitness,Exercise Bike,36311.52,7893.84,40,4.38
2024-02-04,South,Fitness,Exercise Bike,13723.56,3260.37,36,4.43
2024-05-30,East,Home,Blender,238.36,65.23,4,4.47
2023-09-24,Central,Electronics,Laptop,18031.0,3174.08,19,3.97
2023-06-01,South,Home,Coffee Machine,1652.88,278.46,4,3.56
2023-08-11,West,Fitness,Dumbbells,3469.2,659.87,7,3.65
2023-11-01,West,Fitness,Treadmill,10382.4,2617.96,10,4.08
2024-04-07,North,Fitness,Exercise Bike,38567.32,8577.22,37,4.99
2024-11-27,Central,Electronics,Tablet,14860.8,1853.44,36,4.34
2025-06-15,North,Home,Air Purifier,2778.94,741.53,38,4.94
2024-11-25,North,Fitness,Treadmill,1107.46,345.1,8,4.17
2023-03-17,North,Fashion,Jacket,10753.2,2451.66,40,3.75
2023-12-16,Central,Electronics,Headphones,65052.0,14044.79,39,4.97
2023-10-09,North,Fitness,Yoga Mat,28075.74,5714.17,22,3.5
2023-10-01,North,Office,Mouse,2626.5,455.23,6,3.95
2023-10-21,South,Fitness,Dumbbells,14697.44,3015.92,16,4.91
2023-01-10,West,Home,Coffee Machine,1697.85,505.76,7,4.33
2024-02-01,North,Office,Printer,2373.12,640.62,12,3.65
2023-08-02,North,Fashion,Watch,1120.64,350.49,32,3.95
2024-10-29,North,Home,Blender,7132.75,1666.32,25,3.59
